"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Avon and Somerset","South West",2014-01-01,"Jan","2014","Q1_2014",0,0,78.6,21.4,67.3,32.7,98,2,100,0,91.4,8.6,100,0,86.9,13.1,97.4,2.6,81.5,18.5,87.5,12.5,86.5,13.5,100
"Bedfordshire","Thames and Chiltern",2014-01-01,"Jan","2014","Q1_2014",0,100,70.1,29.9,66.7,33.3,63.6,36.4,69.6,30.4,94.9,5.1,85,15,73.3,26.7,91.2,8.8,76.9,23.1,86.7,13.3,92.9,7.1,100
"Cambridgeshire","East of England",2014-01-01,"Jan","2014","Q1_2014",0,0,82.8,17.2,76.9,23.1,81.8,18.2,60,40,90.8,9.2,71.4,28.6,90.9,9.1,97.9,2.1,94.9,5.1,75.7,24.3,86.6,13.4,100
"Cheshire","Mersey-Cheshire",2014-01-01,"Jan","2014","Q1_2014",0,0,81,19,93.8,6.3,88.4,11.6,100,0,97.6,2.4,93.3,6.7,92.9,7.1,95.5,4.5,90.6,9.4,90.9,9.1,94.3,5.7,100
"Cleveland","North East",2014-01-01,"Jan","2014","Q1_2014",40,60,73,27,64.7,35.3,94.7,5.3,60,40,91.5,8.5,78.6,21.4,78,22,97,3,82,18,70.8,29.2,93.4,6.6,100
"Cumbria","North West",2014-01-01,"Jan","2014","Q1_2014",0,0,89.7,10.3,57.1,42.9,100,0,100,0,94.3,5.7,100,0,92.7,7.3,98.1,1.9,97.5,2.5,91.2,8.8,94.1,5.9,100
"Derbyshire","East Midlands",2014-01-01,"Jan","2014","Q1_2014",0,100,69.9,30.1,75.9,24.1,90,10,71.4,28.6,91.9,8.1,100,0,81.5,18.5,90.5,9.5,79.7,20.3,70,30,96.5,3.5,100
"Devon and Cornwall","South West",2014-01-01,"Jan","2014","Q1_2014",0,0,77.5,22.5,84.2,15.8,86.2,13.8,100,0,89.6,10.4,90,10,89.2,10.8,95,5,88.3,11.7,84.3,15.7,93,7,100
"Dorset","Oxfordshire",2014-01-01,"Jan","2014","Q1_2014",0,0,75,25,46.2,53.8,95.2,4.8,100,0,95,5,100,0,88.2,11.8,90.4,9.6,84,16,81.3,18.7,88.2,11.8,100
"Durham","North East",2014-01-01,"Jan","2014","Q1_2014",100,0,78.4,21.6,75,25,87.5,12.5,0,0,89.5,10.5,90.9,9.1,80.8,19.2,97.4,2.6,90.1,9.9,70.6,29.4,93.5,6.5,100
"Dyfed Powys","Cymru/Wales",2014-01-01,"Jan","2014","Q1_2014",0,0,82.1,17.9,57.1,42.9,88.9,11.1,50,50,90.8,9.2,100,0,93.8,6.3,94.3,5.7,92,8,95,5,94.2,5.8,100
"Essex","East of England",2014-01-01,"Jan","2014","Q1_2014",100,0,78.4,21.6,64.7,35.3,75,25,77.8,22.2,92.9,7.1,93.9,6.1,89.4,10.6,96.5,3.5,94.4,5.6,91.2,8.8,83.7,16.3,100
"Gloucestershire","South West",2014-01-01,"Jan","2014","Q1_2014",0,0,82.6,17.4,80,20,95.2,4.8,75,25,100,0,90,10,77.8,22.2,93.9,6.1,96.2,3.8,83.3,16.7,93.3,6.7,100
"GreaterManchester","North West",2014-01-01,"Jan","2014","Q1_2014",66.7,33.3,79.1,20.9,72.2,27.8,90.4,9.6,91.9,8.1,93.4,6.6,86.7,13.3,84.6,15.4,94.3,5.7,88.9,11.1,89.5,10.5,93.6,6.4,100
"Gwent","Cymru/Wales",2014-01-01,"Jan","2014","Q1_2014",0,0,71.4,28.6,100,0,84.6,15.4,50,50,90.8,9.2,100,0,90.5,9.5,92.3,7.7,87.1,12.9,84,16,77.4,22.6,100
"Hampshire","Oxfordshire",2014-01-01,"Jan","2014","Q1_2014",0,0,78.5,21.5,52.8,47.2,69.4,30.6,57.1,42.9,88.5,11.5,71.4,28.6,76.5,23.5,95.9,4.1,82.1,17.9,84.8,15.2,87.2,12.8,100
"Hertfordshire","Thames and Chiltern",2014-01-01,"Jan","2014","Q1_2014",100,0,77.4,22.6,57.1,42.9,83.3,16.7,100,0,86.1,13.9,81.3,18.8,81.8,18.2,92.1,7.9,86.9,13.1,82.4,17.6,84.1,15.9,100
"Humberside","Yorkshire and Humberside",2014-01-01,"Jan","2014","Q1_2014",0,100,82.8,17.2,76.2,23.8,85.3,14.7,100,0,91.6,8.4,84.2,15.8,94,6,95.3,4.7,92.8,7.2,94,6,94.9,5.1,100
"Kent","South East",2014-01-01,"Jan","2014","Q1_2014",0,0,72.1,27.9,82.6,17.4,95.2,4.8,90.9,9.1,91.3,8.7,80.8,19.2,79.1,20.9,95.5,4.5,82.6,17.4,88.1,11.9,86.6,13.4,100
"Lancashire","North West",2014-01-01,"Jan","2014","Q1_2014",100,0,76.9,23.1,85.3,14.7,90.2,9.8,100,0,94.3,5.7,95.2,4.8,89.8,10.2,98.1,1.9,87.8,12.2,83.2,16.8,88.5,11.5,100
"Leicestershire","East Midlands",2014-01-01,"Jan","2014","Q1_2014",66.7,33.3,83.5,16.5,71.4,28.6,72.2,27.8,80,20,94.5,5.5,85.7,14.3,82.1,17.9,94.4,5.6,83.3,16.7,91.4,8.6,96.5,3.5,100
"Lincolnshire","East Midlands",2014-01-01,"Jan","2014","Q1_2014",100,0,84.8,15.2,71.4,28.6,93.3,6.7,100,0,90.1,9.9,100,0,89.7,10.3,96.6,3.4,93.4,6.6,44.4,55.6,85.2,14.8,100
"Merseyside","Mersey-Cheshire",2014-01-01,"Jan","2014","Q1_2014",66.7,33.3,74,26,77.1,22.9,81.3,18.8,87.5,12.5,94,6,95.5,4.5,90.3,9.7,91.8,8.2,85.3,14.7,91.9,8.1,92.4,7.6,100
"Metropolitan and City","Greater London",2014-01-01,"Jan","2014","Q1_2014",100,0,70.4,29.6,63.2,36.8,81.1,18.9,71.4,28.6,88.4,11.6,85.2,14.8,83.4,16.6,95,5,82.1,17.9,83.3,16.7,82.3,17.7,100
"Norfolk","East of England",2014-01-01,"Jan","2014","Q1_2014",0,0,82.1,17.9,100,0,100,0,100,0,93.1,6.9,83.3,16.7,89.1,10.9,95.2,4.8,89.2,10.8,89,11,92.5,7.5,100
"Northamptonshire","East Midlands",2014-01-01,"Jan","2014","Q1_2014",0,0,80.3,19.7,100,0,72.7,27.3,57.1,42.9,89.5,10.5,100,0,71,29,89.7,10.3,78.4,21.6,84.6,15.4,96.8,3.2,100
"Northumbria","North East",2014-01-01,"Jan","2014","Q1_2014",100,0,75,25,75,25,87.1,12.9,86.7,13.3,92.6,7.4,93.9,6.1,82,18,85.8,14.2,84.6,15.4,82.4,17.6,90.5,9.5,100
"North Wales","Cymru/Wales",2014-01-01,"Jan","2014","Q1_2014",100,0,77.6,22.4,71.4,28.6,92.9,7.1,100,0,94.8,5.2,87.5,12.5,90,10,100,0,87.2,12.8,94.4,5.6,95,5,100
"North Yorkshire","Yorkshire and Humberside",2014-01-01,"Jan","2014","Q1_2014",0,0,69.5,30.5,100,0,94.7,5.3,33.3,66.7,92.9,7.1,66.7,33.3,83,17,87.3,12.7,90.9,9.1,93.3,6.7,91.3,8.7,100
"Nottinghamshire","East Midlands",2014-01-01,"Jan","2014","Q1_2014",0,0,71,29,82.4,17.6,95.6,4.4,95.7,4.3,91.8,8.2,100,0,88.7,11.3,95.1,4.9,82.4,17.6,82.7,17.3,88.3,11.7,100
"South Wales","Cymru/Wales",2014-01-01,"Jan","2014","Q1_2014",0,0,76.5,23.5,50,50,86,14,100,0,97.3,2.7,86.4,13.6,91.2,8.8,96.4,3.6,85.6,14.4,85.4,14.6,88.7,11.3,100
"South Yorkshire","Yorkshire and Humberside",2014-01-01,"Jan","2014","Q1_2014",66.7,33.3,79.8,20.2,90,10,86.4,13.6,90.9,9.1,93.2,6.8,92.9,7.1,87,13,93.3,6.7,90.6,9.4,81.5,18.5,95.5,4.5,100
"Staffordshire","West Midlands",2014-01-01,"Jan","2014","Q1_2014",100,0,76.4,23.6,66.7,33.3,84.8,15.2,78.3,21.7,88.2,11.8,85.7,14.3,86.9,13.1,91.3,8.7,82.2,17.8,88.5,11.5,95.4,4.6,100
"Suffolk","East of England",2014-01-01,"Jan","2014","Q1_2014",100,0,89.2,10.8,100,0,100,0,66.7,33.3,92.5,7.5,100,0,86.8,13.2,100,0,93.8,6.3,97.1,2.9,86.8,13.2,100
"Surrey","South East",2014-01-01,"Jan","2014","Q1_2014",0,0,72,28,63.6,36.4,83.3,16.7,50,50,83.8,16.2,100,0,80,20,94,6,90.4,9.6,88.1,11.9,90.5,9.5,100
"Sussex","South East",2014-01-01,"Jan","2014","Q1_2014",0,0,67.5,32.5,65.6,34.4,87,13,88.9,11.1,92.9,7.1,94.7,5.3,83,17,89.8,10.2,83.7,16.3,73.9,26.1,91.6,8.4,100
"Thames Valley","Thames and Chiltern",2014-01-01,"Jan","2014","Q1_2014",80,20,71.9,28.1,80,20,82,18,65,35,90.3,9.7,85.7,14.3,88.1,11.9,94.8,5.2,81.3,18.8,78.3,21.7,92.9,7.1,100
"Warwickshire","West Midlands",2014-01-01,"Jan","2014","Q1_2014",0,0,89.4,10.6,100,0,89.5,10.5,0,0,100,0,66.7,33.3,93.8,6.3,100,0,82.4,17.6,84.6,15.4,89,11,100
"West Mercia","West Midlands",2014-01-01,"Jan","2014","Q1_2014",0,0,82.2,17.8,62.5,37.5,89.7,10.3,50,50,98.3,1.7,90.9,9.1,85.1,14.9,100,0,85.3,14.7,80.6,19.4,87.1,12.9,100
"West Midlands","West Midlands",2014-01-01,"Jan","2014","Q1_2014",100,0,70.2,29.8,78.9,21.1,84.3,15.7,76.6,23.4,91.3,8.7,73.8,26.2,81.1,18.9,94.3,5.7,80.4,19.6,83.8,16.3,90.8,9.2,100
"West Yorkshire","Yorkshire and Humberside",2014-01-01,"Jan","2014","Q1_2014",100,0,75.1,24.9,71,29,79.3,20.7,91.2,8.8,90.6,9.4,65.9,34.1,77.6,22.4,90,10,78.2,21.8,78.2,21.8,86.2,13.8,100
"Wiltshire","Oxfordshire",2014-01-01,"Jan","2014","Q1_2014",100,0,74.4,25.6,90,10,93.8,6.3,0,0,92.4,7.6,100,0,92.5,7.5,87.9,12.1,81.8,18.2,91.5,8.5,95,5,100
"Avon and Somerset","South West",2014-02-01,"Feb","2014","Q1_2014",0,0,78,22,75.9,24.1,76.5,23.5,53.8,46.2,91.4,8.6,85.7,14.3,84.4,15.6,97.9,2.1,85.1,14.9,80.9,19.1,85.3,14.7,100
"Bedfordshire","Thames and Chiltern",2014-02-01,"Feb","2014","Q1_2014",0,0,69.4,30.6,66.7,33.3,78.6,21.4,87.5,12.5,86.6,13.4,77.8,22.2,75,25,100,0,50,50,91.7,8.3,80,20,100
"Cambridgeshire","East of England",2014-02-01,"Feb","2014","Q1_2014",0,0,77.9,22.1,72.7,27.3,86.2,13.8,0,0,96.5,3.5,94.4,5.6,84,16,93.8,6.3,83.3,16.7,86.7,13.3,87.4,12.6,100
"Cheshire","Mersey-Cheshire",2014-02-01,"Feb","2014","Q1_2014",0,0,80.7,19.3,95,5,92.6,7.4,58.3,41.7,91.4,8.6,100,0,97.6,2.4,92.5,7.5,89.6,10.4,93.1,6.9,94.4,5.6,100
"Cleveland","North East",2014-02-01,"Feb","2014","Q1_2014",0,0,73.4,26.6,64,36,85,15,30.8,69.2,89.7,10.3,100,0,75,25,90.4,9.6,75.2,24.8,81.5,18.5,86.3,13.7,0
"Cumbria","North West",2014-02-01,"Feb","2014","Q1_2014",0,0,80.7,19.3,75,25,81.3,18.8,100,0,98.3,1.7,100,0,100,0,95.6,4.4,95.7,4.3,93.2,6.8,91,9,100
"Derbyshire","East Midlands",2014-02-01,"Feb","2014","Q1_2014",100,0,74.7,25.3,82.4,17.6,75,25,77.8,22.2,91.4,8.6,91.7,8.3,88.5,11.5,94.4,5.6,73.8,26.2,76.7,23.3,91.4,8.6,100
"Devon and Cornwall","South West",2014-02-01,"Feb","2014","Q1_2014",0,100,71,29,82.4,17.6,90.7,9.3,83.3,16.7,92,8,94.1,5.9,83.1,16.9,93.6,6.4,81.4,18.6,90.6,9.4,93.6,6.4,100
"Dorset","Oxfordshire",2014-02-01,"Feb","2014","Q1_2014",100,0,74.7,25.3,77.8,22.2,87.5,12.5,100,0,89.6,10.4,50,50,87.1,12.9,87.5,12.5,83.3,16.7,81.9,18.1,86.8,13.2,100
"Durham","North East",2014-02-01,"Feb","2014","Q1_2014",100,0,71.6,28.4,75,25,76.9,23.1,100,0,90.4,9.6,100,0,92.3,7.7,96.8,3.2,87.3,12.7,70,30,89.2,10.8,100
"Dyfed Powys","Cymru/Wales",2014-02-01,"Feb","2014","Q1_2014",100,0,75.3,24.7,80,20,92.9,7.1,100,0,94.1,5.9,100,0,77.3,22.7,97,3,89.5,10.5,93.8,6.3,86.3,13.7,100
"Essex","East of England",2014-02-01,"Feb","2014","Q1_2014",0,0,78.8,21.2,75,25,84.6,15.4,42.9,57.1,90.2,9.8,86.4,13.6,85.3,14.7,94,6,86.8,13.2,95.6,4.4,89.8,10.2,100
"Gloucestershire","South West",2014-02-01,"Feb","2014","Q1_2014",0,100,72.2,27.8,66.7,33.3,100,0,66.7,33.3,91.2,8.8,100,0,84.2,15.8,100,0,94.4,5.6,90,10,88.9,11.1,100
"GreaterManchester","North West",2014-02-01,"Feb","2014","Q1_2014",0,100,80.8,19.2,60.3,39.7,88.7,11.3,86.5,13.5,92.9,7.1,88.5,11.5,90.2,9.8,95.9,4.1,90,10,85.4,14.6,95.7,4.3,100
"Gwent","Cymru/Wales",2014-02-01,"Feb","2014","Q1_2014",0,0,63.4,36.6,52.6,47.4,92.9,7.1,75,25,92.8,7.2,78.6,21.4,83.7,16.3,90.6,9.4,83.2,16.8,96,4,76.2,23.8,100
"Hampshire","Oxfordshire",2014-02-01,"Feb","2014","Q1_2014",0,100,72.7,27.3,62.9,37.1,84.8,15.2,57.1,42.9,90.8,9.2,88.9,11.1,75.9,24.1,91,9,85.3,14.7,89.7,10.3,87.8,12.2,100
"Hertfordshire","Thames and Chiltern",2014-02-01,"Feb","2014","Q1_2014",100,0,77.3,22.7,50,50,83.3,16.7,0,0,90.6,9.4,77.8,22.2,75.8,24.2,93.8,6.2,78,22,66.7,33.3,84,16,100
"Humberside","Yorkshire and Humberside",2014-02-01,"Feb","2014","Q1_2014",100,0,83.2,16.8,71.9,28.1,92.5,7.5,63.6,36.4,94.9,5.1,100,0,92.5,7.5,96.2,3.8,86.1,13.9,86.7,13.3,94.3,5.7,100
"Kent","South East",2014-02-01,"Feb","2014","Q1_2014",66.7,33.3,68,32,73.7,26.3,89.6,10.4,87.5,12.5,86.1,13.9,72.2,27.8,76.1,23.9,93.4,6.6,77.5,22.5,83.9,16.1,76.1,23.9,100
"Lancashire","North West",2014-02-01,"Feb","2014","Q1_2014",100,0,77.1,22.9,70.6,29.4,88.2,11.8,100,0,92.5,7.5,88.2,11.8,82.9,17.1,92.2,7.8,93.5,6.5,84.4,15.6,87.9,12.1,100
"Leicestershire","East Midlands",2014-02-01,"Feb","2014","Q1_2014",100,0,79.2,20.8,85,15,71.4,28.6,85.7,14.3,89.7,10.3,100,0,78.6,21.4,86.5,13.5,82.6,17.4,88.9,11.1,95.4,4.6,100
"Lincolnshire","East Midlands",2014-02-01,"Feb","2014","Q1_2014",0,0,78.1,21.9,84.6,15.4,77.4,22.6,100,0,94.5,5.5,90,10,91.3,8.7,92.9,7.1,85.1,14.9,81.8,18.2,81.7,18.3,100
"Merseyside","Mersey-Cheshire",2014-02-01,"Feb","2014","Q1_2014",80,20,78.6,21.4,89.3,10.7,90.6,9.4,81.5,18.5,95.9,4.1,98.1,1.9,88.7,11.3,96,4,84.2,15.8,83.9,16.1,93.7,6.3,100
"Metropolitan and City","Greater London",2014-02-01,"Feb","2014","Q1_2014",76.9,23.1,69.3,30.7,59.7,40.3,78.6,21.4,75.9,24.1,89.7,10.3,90.3,9.7,81,19,93,7,80.8,19.2,78.6,21.4,79.5,20.5,100
"Norfolk","East of England",2014-02-01,"Feb","2014","Q1_2014",0,0,77.7,22.3,83.3,16.7,88,12,100,0,93,7,92.9,7.1,93.3,6.7,96.9,3.1,89.7,10.3,93.4,6.6,87.8,12.2,100
"Northamptonshire","East Midlands",2014-02-01,"Feb","2014","Q1_2014",100,0,72.8,27.2,66.7,33.3,91.3,8.7,66.7,33.3,88.7,11.3,60,40,75,25,92,8,84.4,15.6,81.3,18.8,92.6,7.4,100
"Northumbria","North East",2014-02-01,"Feb","2014","Q1_2014",0,0,74.6,25.4,78.9,21.1,81.2,18.8,81,19,89,11,66.7,33.3,84.8,15.2,88.6,11.4,85.1,14.9,80.6,19.4,90.1,9.9,100
"North Wales","Cymru/Wales",2014-02-01,"Feb","2014","Q1_2014",66.7,33.3,75.2,24.8,64.3,35.7,90.6,9.4,80,20,92.9,7.1,100,0,95.5,4.5,91.4,8.6,86,14,86.8,13.2,89.8,10.2,100
"North Yorkshire","Yorkshire and Humberside",2014-02-01,"Feb","2014","Q1_2014",100,0,75.4,24.6,100,0,71.4,28.6,0,0,92.7,7.3,81.8,18.2,93.3,6.7,93.2,6.8,85,15,93.3,6.7,93.5,6.5,100
"Nottinghamshire","East Midlands",2014-02-01,"Feb","2014","Q1_2014",100,0,78.5,21.5,75,25,87.9,12.1,94.4,5.6,90.4,9.6,95.7,4.3,80,20,93.7,6.3,76.8,23.2,89,11,91.8,8.2,100
"South Wales","Cymru/Wales",2014-02-01,"Feb","2014","Q1_2014",100,0,78.2,21.8,73.9,26.1,93.9,6.1,71.4,28.6,96.9,3.1,91.7,8.3,96.3,3.7,98.8,1.2,89,11,90.4,9.6,94,6,100
"South Yorkshire","Yorkshire and Humberside",2014-02-01,"Feb","2014","Q1_2014",100,0,76.6,23.4,70,30,85.1,14.9,75,25,92.4,7.6,81,19,91.2,8.8,93.2,6.8,91.8,8.2,83,17,91.2,8.8,100
"Staffordshire","West Midlands",2014-02-01,"Feb","2014","Q1_2014",0,0,65.3,34.7,81,19,79.2,20.8,86.4,13.6,90.2,9.8,71.4,28.6,86.1,13.9,90.7,9.3,79.8,20.2,87.8,12.2,93.2,6.8,100
"Suffolk","East of England",2014-02-01,"Feb","2014","Q1_2014",0,100,83.1,16.9,77.8,22.2,89.5,10.5,0,0,95.6,4.4,92.9,7.1,91.5,8.5,100,0,82.8,17.2,100,0,86.5,13.5,100
"Surrey","South East",2014-02-01,"Feb","2014","Q1_2014",0,0,73.5,26.5,81,19,95.5,4.5,100,0,92.7,7.3,83.3,16.7,90,10,97.5,2.5,69.6,30.4,78.2,21.8,89.9,10.1,100
"Sussex","South East",2014-02-01,"Feb","2014","Q1_2014",0,0,71.8,28.2,80,20,82.1,17.9,66.7,33.3,92.5,7.5,80,20,82.8,17.2,97.2,2.8,81.7,18.3,69.7,30.3,92.9,7.1,100
"Thames Valley","Thames and Chiltern",2014-02-01,"Feb","2014","Q1_2014",100,0,66.6,33.4,80.6,19.4,91.5,8.5,84.2,15.8,87.8,12.2,60,40,85.9,14.1,92.7,7.3,76.6,23.4,75.9,24.1,94.2,5.8,100
"Warwickshire","West Midlands",2014-02-01,"Feb","2014","Q1_2014",0,0,76.8,23.2,100,0,54.5,45.5,50,50,96.2,3.8,88.9,11.1,100,0,91.7,8.3,95.2,4.8,96,4,91.5,8.5,100
"West Mercia","West Midlands",2014-02-01,"Feb","2014","Q1_2014",80,20,77.8,22.2,73.1,26.9,92.9,7.1,68.8,31.3,95.2,4.8,87.5,12.5,90,10,98,2,84.2,15.8,84.8,15.2,89,11,100
"West Midlands","West Midlands",2014-02-01,"Feb","2014","Q1_2014",100,0,68.7,31.3,70.3,29.7,76.6,23.4,75.8,24.2,92.3,7.7,84.6,15.4,80.6,19.4,93.3,6.7,79.7,20.3,87.1,12.9,88.1,11.9,100
"West Yorkshire","Yorkshire and Humberside",2014-02-01,"Feb","2014","Q1_2014",50,50,76.3,23.7,67.6,32.4,88,12,87.5,12.5,91.4,8.6,86.1,13.9,83.6,16.4,92.9,7.1,80.9,19.1,82.6,17.4,84.6,15.4,100
"Wiltshire","Oxfordshire",2014-02-01,"Feb","2014","Q1_2014",0,0,82.7,17.3,83.3,16.7,100,0,0,100,92.6,7.4,66.7,33.3,96,4,94.1,5.9,95.5,4.5,80.4,19.6,86.4,13.6,100
"Avon and Somerset","South West",2014-03-01,"Mar","2014","Q1_2014",100,0,78,22,65.2,34.8,92.9,7.1,82.4,17.6,89.4,10.6,100,0,85.3,14.7,94.6,5.4,82.3,17.7,92.2,7.8,90.3,9.7,100
"Bedfordshire","Thames and Chiltern",2014-03-01,"Mar","2014","Q1_2014",100,0,73.4,26.6,100,0,86.7,13.3,100,0,87.5,12.5,90,10,87.5,12.5,89.7,10.3,71.4,28.6,90.9,9.1,85.6,14.4,100
"Cambridgeshire","East of England",2014-03-01,"Mar","2014","Q1_2014",0,0,76.9,23.1,100,0,90,10,83.3,16.7,93.8,6.2,90.9,9.1,78.6,21.4,97.7,2.3,91.7,8.3,80.6,19.4,88.1,11.9,100
"Cheshire","Mersey-Cheshire",2014-03-01,"Mar","2014","Q1_2014",0,0,77.9,22.1,71.4,28.6,90.9,9.1,50,50,96.6,3.4,76.5,23.5,89.1,10.9,94.8,5.2,89.5,10.5,82.4,17.6,93.9,6.1,100
"Cleveland","North East",2014-03-01,"Mar","2014","Q1_2014",100,0,70.2,29.8,78.9,21.1,88.4,11.6,55.6,44.4,92.7,7.3,66.7,33.3,73.6,26.4,86.1,13.9,76.7,23.3,71.8,28.2,97.1,2.9,100
"Cumbria","North West",2014-03-01,"Mar","2014","Q1_2014",0,0,88.4,11.6,71.4,28.6,88.2,11.8,100,0,98.7,1.3,100,0,87.8,12.2,97.3,2.7,93.3,6.7,95.2,4.8,89,11,100
"Derbyshire","East Midlands",2014-03-01,"Mar","2014","Q1_2014",100,0,69.3,30.7,81.3,18.8,87.9,12.1,75,25,88.7,11.3,100,0,75.7,24.3,87.7,12.3,92,8,82,18,87.8,12.2,100
"Devon and Cornwall","South West",2014-03-01,"Mar","2014","Q1_2014",50,50,73.4,26.6,84.6,15.4,83.3,16.7,0,0,96.2,3.8,71.4,28.6,82.6,17.4,92.3,7.7,83.5,16.5,84.5,15.5,92.3,7.7,100
"Dorset","Oxfordshire",2014-03-01,"Mar","2014","Q1_2014",100,0,77.8,22.2,42.9,57.1,100,0,100,0,89.8,10.2,100,0,81.3,18.8,93.2,6.8,85.7,14.3,92,8,84.4,15.6,100
"Durham","North East",2014-03-01,"Mar","2014","Q1_2014",100,0,73.3,26.7,70.6,29.4,85.3,14.7,80,20,92,8,87.5,12.5,83.9,16.1,91.3,8.7,79.2,20.8,88.2,11.8,91.8,8.2,0
"Dyfed Powys","Cymru/Wales",2014-03-01,"Mar","2014","Q1_2014",0,0,82.1,17.9,75,25,88.9,11.1,0,0,75.6,24.4,100,0,82.1,17.9,93,7,85,15,88.2,11.8,93.2,6.8,100
"Essex","East of England",2014-03-01,"Mar","2014","Q1_2014",100,0,79.3,20.7,76,24,92.5,7.5,86.7,13.3,93.2,6.8,80,20,86.3,13.8,96.9,3.1,89,11,87,13,91.1,8.9,100
"Gloucestershire","South West",2014-03-01,"Mar","2014","Q1_2014",0,0,82.1,17.9,75,25,95.5,4.5,100,0,92.6,7.4,100,0,95.7,4.3,95.1,4.9,85.2,14.8,83.3,16.7,90.9,9.1,100
"GreaterManchester","North West",2014-03-01,"Mar","2014","Q1_2014",80,20,77.9,22.1,53.8,46.2,95.2,4.8,91.1,8.9,96.4,3.6,82.5,17.5,87.7,12.3,94.9,5.1,90.9,9.1,90.1,9.9,94.4,5.6,100
"Gwent","Cymru/Wales",2014-03-01,"Mar","2014","Q1_2014",0,0,80.5,19.5,37.5,62.5,80.6,19.4,75,25,91.8,8.2,92.3,7.7,70.6,29.4,78.3,21.7,82.4,17.6,80,20,80.9,19.1,100
"Hampshire","Oxfordshire",2014-03-01,"Mar","2014","Q1_2014",0,100,69.7,30.3,55.3,44.7,81.4,18.6,63.6,36.4,92.5,7.5,72.2,27.8,85.9,14.1,94.7,5.3,78.4,21.6,87.6,12.4,88.3,11.7,100
"Hertfordshire","Thames and Chiltern",2014-03-01,"Mar","2014","Q1_2014",33.3,66.7,78.9,21.1,72.7,27.3,81.1,18.9,89.5,10.5,89.9,10.1,72.3,27.7,91.1,8.9,93.1,6.9,75,25,71,29,78.7,21.3,100
"Humberside","Yorkshire and Humberside",2014-03-01,"Mar","2014","Q1_2014",100,0,79.5,20.5,79.3,20.7,95.6,4.4,66.7,33.3,95.5,4.5,87.5,12.5,91.5,8.5,95,5,81.1,18.9,76.5,23.5,87.7,12.3,100
"Kent","South East",2014-03-01,"Mar","2014","Q1_2014",100,0,71.8,28.2,86.7,13.3,81.8,18.2,94.7,5.3,89.1,10.9,92,8,85.2,14.8,93.1,6.9,87.3,12.7,81.3,18.8,90.4,9.6,100
"Lancashire","North West",2014-03-01,"Mar","2014","Q1_2014",100,0,75.6,24.4,81.5,18.5,89,11,83.3,16.7,90,10,95.5,4.5,86.9,13.1,92.6,7.4,90.5,9.5,89.5,10.5,85,15,100
"Leicestershire","East Midlands",2014-03-01,"Mar","2014","Q1_2014",100,0,72.7,27.3,57.1,42.9,72.7,27.3,75,25,91.5,8.5,100,0,85.4,14.6,85.7,14.3,87.5,12.5,77.3,22.7,93.4,6.6,100
"Lincolnshire","East Midlands",2014-03-01,"Mar","2014","Q1_2014",0,100,80,20,83.3,16.7,100,0,100,0,90.5,9.5,75,25,94.4,5.6,95.3,4.7,87.5,12.5,75,25,88.8,11.2,100
"Merseyside","Mersey-Cheshire",2014-03-01,"Mar","2014","Q1_2014",100,0,77.6,22.4,74.2,25.8,97.5,2.5,84,16,96.6,3.4,97.7,2.3,84.3,15.7,93.3,6.7,84,16,87.1,12.9,93.5,6.5,100
"Metropolitan and City","Greater London",2014-03-01,"Mar","2014","Q1_2014",61.1,38.9,66.8,33.2,61.7,38.3,81.5,18.5,75,25,89.2,10.8,89.8,10.2,80.5,19.5,94.9,5.1,83.5,16.5,84.4,15.6,79.4,20.6,100
"Norfolk","East of England",2014-03-01,"Mar","2014","Q1_2014",0,0,78.2,21.8,60,40,86.4,13.6,88.9,11.1,90.6,9.4,75,25,89.4,10.6,94,6,83.1,16.9,79.7,20.3,84.3,15.7,100
"Northamptonshire","East Midlands",2014-03-01,"Mar","2014","Q1_2014",100,0,73.6,26.4,80,20,81.3,18.8,100,0,91.2,8.8,80,20,86.5,13.5,100,0,88.7,11.3,66.7,33.3,93,7,100
"Northumbria","North East",2014-03-01,"Mar","2014","Q1_2014",100,0,71.3,28.7,62.5,37.5,88.7,11.3,100,0,89.3,10.7,78.3,21.7,81.8,18.2,90.9,9.1,73.6,26.4,79.7,20.3,84.8,15.2,100
"North Wales","Cymru/Wales",2014-03-01,"Mar","2014","Q1_2014",0,0,73.4,26.6,70,30,76.9,23.1,87.5,12.5,95.7,4.3,66.7,33.3,93.2,6.8,91.7,8.3,83,17,96.1,3.9,92.8,7.2,100
"North Yorkshire","Yorkshire and Humberside",2014-03-01,"Mar","2014","Q1_2014",100,0,78.6,21.4,100,0,96.2,3.8,66.7,33.3,96.4,3.6,91.7,8.3,81.4,18.6,97.2,2.8,93,7,80,20,89.2,10.8,100
